id,en,el,fr,de,zh_TW
OK,OK,Εντάξει,OK,OK,OK
Cancel,Cancel,Άκυρο,Annuler,Abbrechen,取消
Open,Open,Άνοιγμα,Ouvrir,Öffnen,打開
Please Confirm...,Please Confirm...,Παρακαλώ επιβεβαιώστε...,Veuillez confirmer...,Bitte bestätigen...,確認...
Image Size,Image Size,Μέγεθος εικόνας,Taille de l'image,Bildgröße,圖片尺寸
Width:,Width:,Πλάτος:,Largeur :,Weite,寬:
Height:,Height:,Ύψος:,Hauteur :,Höhe,高:
File,File,Αρχείο,Fichier,Datei,檔案
Edit,Edit,Επεξεργασία,Édition,Bearbeiten,編輯
View,View,Προβολή,Affichage,Ansicht,檢視
Help,Help,Βοήθεια,Aide,Hilfe,幫助
New...,New...,Νέο...,Nouveau...,Neu,開新檔案
Open...,Open...,Άνοιγμα...,Ouvrir...,Öffnen...,打開舊檔
Save...,Save...,Αποθήκευση...,Enregistrer...,Speichern...,儲存
Save as...,Save as...,Αποθήκευση ως...,Enregistrer sous...,Speichern als...,儲存為
Import PNG...,Import PNG...,Εισαγωγή PNG...,Importer une image PNG...,Importiere PNG,匯入PNG檔
Export PNG...,Export PNG...,Εξαγωγή PNG...,Exporter une image PNG...,Exportiere PNG,輸出PNG檔
Export PNG as...,Export PNG as...,Εξαγωγή PNG ως...,Exporter une image PNG sous...,Exportiere PNG als...,輸出PNG為...
Quit,Quit,Έξοδος,Quitter,Verlassen,離開
Undo,Undo,Αναίρεση,Annuler,Rückgängig,取消
Redo,Redo,Ακύρωση αναίρεσης,Refaire,Wiederherstellen,復原
Scale Image,Scale Image,Κλιμάκωση εικόνας,Redimensionner l'image,Bild skalieren,中文
Crop Image,Crop Image,Περικοπή,Rogner l'image,Bild zuschneiden,中文
Clear Selection,Clear Selection,Καθαρισμός επιλογής,Ne rien sélectionner,Ausgewählten Bereich löschen,中文
Flip Horizontal,Flip Horizontal,Οριζόντια αναστροφή,Miroir horizontal,Horizontal spiegeln,中文
Flip Vertical,Flip Vertical,Κάθετη αναστροφή,Miroir vertical,Vertikal spiegeln,中文
Preferences,Preferences,Προτιμήσεις,Préférences,Einstellungen,中文
Tile Mode,Tile Mode,Λειτουργία μοτίβου,Mode tuile,Tile Mode,中文
Show Grid,Show Grid,Εμφάνιση πλέγματος,Afficher la grille,Zeige Gitter,中文
Show Rulers,Show Rulers,Εμφάνιση χαράκων,Afficher les règles,Zeige Lineale,中文
Show Guides,Show Guides,Εμφάνιση οδηγών,Afficher les guides,Zeige Anleitungen,中文
